,antecedents,consequents
0,"('atgs_cat_1',)","('is_gambler_0',)"
1,"('atgs_cat_2',)","('is_gambler_0',)"
2,"('atgs_cat_3',)","('is_gambler_0',)"
3,"('atgs_cat_4',)","('is_gambler_0',)"
4,"('Q18_cat_1',)","('is_gambler_0',)"
5,"('Q18_cat_2',)","('is_gambler_0',)"
6,"('Q18_cat_3',)","('is_gambler_0',)"
7,"('Q18_cat_4',)","('is_gambler_0',)"
8,"('lotto_count_0',)","('is_gambler_0',)"
9,"('lotto_count_1',)","('is_gambler_0',)"
10,"('lotto_count_2',)","('is_gambler_0',)"
11,"('lotto_count_3',)","('is_gambler_0',)"
12,"('Q20_cat_1',)","('is_gambler_0',)"
13,"('Q20_cat_2',)","('is_gambler_0',)"
14,"('Q20_cat_3',)","('is_gambler_0',)"
15,"('Q20_cat_4',)","('is_gambler_0',)"
16,"('delay_count_0',)","('is_gambler_0',)"
17,"('delay_count_2',)","('is_gambler_0',)"
18,"('delay_count_3',)","('is_gambler_0',)"
19,"('delay_count_4',)","('is_gambler_0',)"
20,"('Q18_cat_1', 'atgs_cat_1')","('is_gambler_0',)"
21,"('Q18_cat_2', 'atgs_cat_1')","('is_gambler_0',)"
22,"('atgs_cat_1', 'lotto_count_0')","('is_gambler_0',)"
23,"('lotto_count_2', 'atgs_cat_1')","('is_gambler_0',)"
24,"('lotto_count_3', 'atgs_cat_1')","('is_gambler_0',)"
25,"('Q20_cat_1', 'atgs_cat_1')","('is_gambler_0',)"
26,"('atgs_cat_1', 'Q20_cat_2')","('is_gambler_0',)"
27,"('Q20_cat_3', 'atgs_cat_1')","('is_gambler_0',)"
28,"('Q20_cat_4', 'atgs_cat_1')","('is_gambler_0',)"
29,"('delay_count_3', 'atgs_cat_1')","('is_gambler_0',)"
30,"('delay_count_4', 'atgs_cat_1')","('is_gambler_0',)"
31,"('atgs_cat_2', 'Q18_cat_1')","('is_gambler_0',)"
32,"('atgs_cat_2', 'Q18_cat_2')","('is_gambler_0',)"
33,"('atgs_cat_2', 'Q18_cat_3')","('is_gambler_0',)"
34,"('atgs_cat_2', 'lotto_count_0')","('is_gambler_0',)"
35,"('lotto_count_2', 'atgs_cat_2')","('is_gambler_0',)"
36,"('lotto_count_3', 'atgs_cat_2')","('is_gambler_0',)"
37,"('Q20_cat_1', 'atgs_cat_2')","('is_gambler_0',)"
38,"('atgs_cat_2', 'Q20_cat_2')","('is_gambler_0',)"
39,"('atgs_cat_2', 'Q20_cat_3')","('is_gambler_0',)"
40,"('atgs_cat_2', 'delay_count_3')","('is_gambler_0',)"
41,"('delay_count_4', 'atgs_cat_2')","('is_gambler_0',)"
42,"('Q18_cat_1', 'lotto_count_0')","('is_gambler_0',)"
43,"('lotto_count_2', 'Q18_cat_1')","('is_gambler_0',)"
44,"('Q20_cat_1', 'Q18_cat_1')","('is_gambler_0',)"
45,"('lotto_count_2', 'Q18_cat_2')","('is_gambler_0',)"
46,"('lotto_count_3', 'Q18_cat_2')","('is_gambler_0',)"
47,"('Q20_cat_1', 'Q18_cat_2')","('is_gambler_0',)"
48,"('Q18_cat_2', 'Q20_cat_2')","('is_gambler_0',)"
49,"('Q18_cat_2', 'delay_count_3')","('is_gambler_0',)"
50,"('delay_count_4', 'Q18_cat_2')","('is_gambler_0',)"
51,"('lotto_count_2', 'Q18_cat_3')","('is_gambler_0',)"
52,"('Q18_cat_3', 'Q20_cat_2')","('is_gambler_0',)"
53,"('Q20_cat_1', 'lotto_count_0')","('is_gambler_0',)"
54,"('Q20_cat_1', 'lotto_count_2')","('is_gambler_0',)"
55,"('lotto_count_2', 'Q20_cat_2')","('is_gambler_0',)"
56,"('lotto_count_2', 'Q20_cat_3')","('is_gambler_0',)"
57,"('lotto_count_2', 'delay_count_3')","('is_gambler_0',)"
58,"('delay_count_4', 'lotto_count_2')","('is_gambler_0',)"
59,"('delay_count_4', 'lotto_count_3')","('is_gambler_0',)"
60,"('delay_count_3', 'Q20_cat_2')","('is_gambler_0',)"
61,"('delay_count_4', 'Q20_cat_2')","('is_gambler_0',)"
62,"('delay_count_4', 'Q20_cat_3')","('is_gambler_0',)"
63,"('delay_count_4', 'Q20_cat_4')","('is_gambler_0',)"
