,antecedents,consequents
0,"('atgs_cat_1',)","('pgsi_binary_0',)"
1,"('atgs_cat_2',)","('pgsi_binary_0',)"
2,"('atgs_cat_3',)","('pgsi_binary_0',)"
3,"('atgs_cat_4',)","('pgsi_binary_0',)"
4,"('gamble_freq_cat_1',)","('pgsi_binary_0',)"
5,"('gamble_freq_cat_2',)","('pgsi_binary_0',)"
6,"('gamble_freq_cat_3',)","('pgsi_binary_0',)"
7,"('Q18_cat_1',)","('pgsi_binary_0',)"
8,"('Q18_cat_2',)","('pgsi_binary_0',)"
9,"('Q18_cat_3',)","('pgsi_binary_0',)"
10,"('Q18_cat_4',)","('pgsi_binary_0',)"
11,"('lotto_count_0',)","('pgsi_binary_0',)"
12,"('lotto_count_1',)","('pgsi_binary_0',)"
13,"('lotto_count_2',)","('pgsi_binary_0',)"
14,"('lotto_count_3',)","('pgsi_binary_0',)"
15,"('Q20_cat_1',)","('pgsi_binary_0',)"
16,"('Q20_cat_2',)","('pgsi_binary_0',)"
17,"('Q20_cat_3',)","('pgsi_binary_0',)"
18,"('Q20_cat_4',)","('pgsi_binary_0',)"
19,"('delay_count_0',)","('pgsi_binary_0',)"
20,"('delay_count_2',)","('pgsi_binary_0',)"
21,"('delay_count_3',)","('pgsi_binary_0',)"
22,"('delay_count_4',)","('pgsi_binary_0',)"
23,"('Q18_cat_1', 'atgs_cat_1')","('pgsi_binary_0',)"
24,"('Q18_cat_2', 'atgs_cat_1')","('pgsi_binary_0',)"
25,"('lotto_count_2', 'atgs_cat_1')","('pgsi_binary_0',)"
26,"('delay_count_3', 'atgs_cat_1')","('pgsi_binary_0',)"
27,"('gamble_freq_cat_1', 'atgs_cat_2')","('pgsi_binary_0',)"
28,"('atgs_cat_2', 'Q18_cat_1')","('pgsi_binary_0',)"
29,"('atgs_cat_2', 'Q18_cat_2')","('pgsi_binary_0',)"
30,"('atgs_cat_2', 'Q18_cat_3')","('pgsi_binary_0',)"
31,"('lotto_count_2', 'atgs_cat_2')","('pgsi_binary_0',)"
32,"('lotto_count_3', 'atgs_cat_2')","('pgsi_binary_0',)"
33,"('Q20_cat_1', 'atgs_cat_2')","('pgsi_binary_0',)"
34,"('atgs_cat_2', 'Q20_cat_2')","('pgsi_binary_0',)"
35,"('atgs_cat_2', 'delay_count_3')","('pgsi_binary_0',)"
36,"('delay_count_4', 'atgs_cat_2')","('pgsi_binary_0',)"
37,"('atgs_cat_4', 'lotto_count_2')","('pgsi_binary_0',)"
38,"('gamble_freq_cat_1', 'Q18_cat_1')","('pgsi_binary_0',)"
39,"('gamble_freq_cat_1', 'Q18_cat_2')","('pgsi_binary_0',)"
40,"('lotto_count_2', 'gamble_freq_cat_1')","('pgsi_binary_0',)"
41,"('gamble_freq_cat_1', 'Q20_cat_2')","('pgsi_binary_0',)"
42,"('gamble_freq_cat_1', 'delay_count_3')","('pgsi_binary_0',)"
43,"('lotto_count_2', 'Q18_cat_1')","('pgsi_binary_0',)"
44,"('Q20_cat_1', 'Q18_cat_1')","('pgsi_binary_0',)"
45,"('Q18_cat_1', 'delay_count_3')","('pgsi_binary_0',)"
46,"('lotto_count_2', 'Q18_cat_2')","('pgsi_binary_0',)"
47,"('lotto_count_3', 'Q18_cat_2')","('pgsi_binary_0',)"
48,"('Q20_cat_1', 'Q18_cat_2')","('pgsi_binary_0',)"
49,"('Q18_cat_2', 'Q20_cat_2')","('pgsi_binary_0',)"
50,"('Q18_cat_2', 'delay_count_3')","('pgsi_binary_0',)"
51,"('delay_count_4', 'Q18_cat_2')","('pgsi_binary_0',)"
52,"('lotto_count_2', 'Q18_cat_3')","('pgsi_binary_0',)"
53,"('Q18_cat_3', 'Q20_cat_2')","('pgsi_binary_0',)"
54,"('Q20_cat_1', 'lotto_count_2')","('pgsi_binary_0',)"
55,"('lotto_count_2', 'Q20_cat_2')","('pgsi_binary_0',)"
56,"('lotto_count_2', 'Q20_cat_3')","('pgsi_binary_0',)"
57,"('lotto_count_2', 'delay_count_3')","('pgsi_binary_0',)"
58,"('delay_count_4', 'lotto_count_2')","('pgsi_binary_0',)"
59,"('lotto_count_3', 'delay_count_3')","('pgsi_binary_0',)"
60,"('Q20_cat_1', 'delay_count_3')","('pgsi_binary_0',)"
61,"('delay_count_3', 'Q20_cat_2')","('pgsi_binary_0',)"
62,"('delay_count_4', 'Q20_cat_2')","('pgsi_binary_0',)"
