,antecedents,consequents,lift,support,confidence,type
20,"('Q18_cat_1', 'atgs_cat_1')","('is_gambler_0',)",1.0,0.09963547995139732,1.0,is_gambler_0
21,"('Q18_cat_2', 'atgs_cat_1')","('is_gambler_0',)",1.0,0.12515188335358446,1.0,is_gambler_0
22,"('atgs_cat_1', 'lotto_count_0')","('is_gambler_0',)",1.0,0.09842041312272175,1.0,is_gambler_0
23,"('lotto_count_2', 'atgs_cat_1')","('is_gambler_0',)",1.0,0.1324422843256379,1.0,is_gambler_0
24,"('lotto_count_3', 'atgs_cat_1')","('is_gambler_0',)",1.0,0.08262454434993925,1.0,is_gambler_0
25,"('Q20_cat_1', 'atgs_cat_1')","('is_gambler_0',)",1.0,0.0959902794653706,1.0,is_gambler_0
26,"('atgs_cat_1', 'Q20_cat_2')","('is_gambler_0',)",1.0,0.10449574726609964,1.0,is_gambler_0
27,"('Q20_cat_3', 'atgs_cat_1')","('is_gambler_0',)",1.0,0.08383961117861483,1.0,is_gambler_0
28,"('Q20_cat_4', 'atgs_cat_1')","('is_gambler_0',)",1.0,0.09356014580801944,1.0,is_gambler_0
29,"('delay_count_3', 'atgs_cat_1')","('is_gambler_0',)",1.0,0.12029161603888214,1.0,is_gambler_0
30,"('delay_count_4', 'atgs_cat_1')","('is_gambler_0',)",1.0,0.11421628189550426,1.0,is_gambler_0
31,"('atgs_cat_2', 'Q18_cat_1')","('is_gambler_0',)",1.0,0.10085054678007291,1.0,is_gambler_0
32,"('atgs_cat_2', 'Q18_cat_2')","('is_gambler_0',)",1.0,0.1543134872417983,1.0,is_gambler_0
33,"('atgs_cat_2', 'Q18_cat_3')","('is_gambler_0',)",1.0,0.0911300121506683,1.0,is_gambler_0
34,"('atgs_cat_2', 'lotto_count_0')","('is_gambler_0',)",1.0,0.08140947752126367,1.0,is_gambler_0
35,"('lotto_count_2', 'atgs_cat_2')","('is_gambler_0',)",1.0,0.15066828675577157,1.0,is_gambler_0
36,"('lotto_count_3', 'atgs_cat_2')","('is_gambler_0',)",1.0,0.09356014580801944,1.0,is_gambler_0
37,"('Q20_cat_1', 'atgs_cat_2')","('is_gambler_0',)",1.0,0.10571081409477522,1.0,is_gambler_0
38,"('atgs_cat_2', 'Q20_cat_2')","('is_gambler_0',)",1.0,0.13973268529769137,1.0,is_gambler_0
39,"('atgs_cat_2', 'Q20_cat_3')","('is_gambler_0',)",1.0,0.08140947752126367,1.0,is_gambler_0
40,"('atgs_cat_2', 'delay_count_3')","('is_gambler_0',)",1.0,0.12029161603888214,1.0,is_gambler_0
41,"('delay_count_4', 'atgs_cat_2')","('is_gambler_0',)",1.0,0.1117861482381531,1.0,is_gambler_0
42,"('Q18_cat_1', 'lotto_count_0')","('is_gambler_0',)",1.0,0.08383961117861483,1.0,is_gambler_0
43,"('lotto_count_2', 'Q18_cat_1')","('is_gambler_0',)",1.0,0.10328068043742406,1.0,is_gambler_0
44,"('Q20_cat_1', 'Q18_cat_1')","('is_gambler_0',)",1.0,0.09234507897934387,1.0,is_gambler_0
45,"('lotto_count_2', 'Q18_cat_2')","('is_gambler_0',)",1.0,0.1336573511543135,1.0,is_gambler_0
46,"('lotto_count_3', 'Q18_cat_2')","('is_gambler_0',)",1.0,0.0850546780072904,1.0,is_gambler_0
47,"('Q20_cat_1', 'Q18_cat_2')","('is_gambler_0',)",1.0,0.1117861482381531,1.0,is_gambler_0
48,"('Q18_cat_2', 'Q20_cat_2')","('is_gambler_0',)",1.0,0.1166464155528554,1.0,is_gambler_0
49,"('Q18_cat_2', 'delay_count_3')","('is_gambler_0',)",1.0,0.12393681652490887,1.0,is_gambler_0
50,"('delay_count_4', 'Q18_cat_2')","('is_gambler_0',)",1.0,0.09842041312272175,1.0,is_gambler_0
51,"('lotto_count_2', 'Q18_cat_3')","('is_gambler_0',)",1.0,0.08019441069258809,1.0,is_gambler_0
52,"('Q18_cat_3', 'Q20_cat_2')","('is_gambler_0',)",1.0,0.0959902794653706,1.0,is_gambler_0
53,"('Q20_cat_1', 'lotto_count_0')","('is_gambler_0',)",1.0,0.0850546780072904,1.0,is_gambler_0
54,"('Q20_cat_1', 'lotto_count_2')","('is_gambler_0',)",1.0,0.09720534629404617,1.0,is_gambler_0
55,"('lotto_count_2', 'Q20_cat_2')","('is_gambler_0',)",1.0,0.13122721749696234,1.0,is_gambler_0
56,"('lotto_count_2', 'Q20_cat_3')","('is_gambler_0',)",1.0,0.0911300121506683,1.0,is_gambler_0
57,"('lotto_count_2', 'delay_count_3')","('is_gambler_0',)",1.0,0.14094775212636695,1.0,is_gambler_0
58,"('delay_count_4', 'lotto_count_2')","('is_gambler_0',)",1.0,0.1166464155528554,1.0,is_gambler_0
59,"('delay_count_4', 'lotto_count_3')","('is_gambler_0',)",1.0,0.0850546780072904,1.0,is_gambler_0
60,"('delay_count_3', 'Q20_cat_2')","('is_gambler_0',)",1.0,0.11786148238153099,1.0,is_gambler_0
61,"('delay_count_4', 'Q20_cat_2')","('is_gambler_0',)",1.0,0.08748481166464156,1.0,is_gambler_0
62,"('delay_count_4', 'Q20_cat_3')","('is_gambler_0',)",1.0,0.0850546780072904,1.0,is_gambler_0
63,"('delay_count_4', 'Q20_cat_4')","('is_gambler_0',)",1.0,0.0899149453219927,1.0,is_gambler_0
