,antecedents,consequents,lift,support,type
32,"('lotto_count_0', 'is_gambler_0')","('atgs_cat_1',)",1.190836013,0.098420413,is_gambler_0
33,"('is_gambler_0', 'atgs_cat_1')","('lotto_count_0',)",1.190836013,0.098420413,is_gambler_0
34,"('lotto_count_0',)","('is_gambler_0', 'atgs_cat_1')",1.190836013,0.098420413,is_gambler_0
35,"('atgs_cat_1',)","('lotto_count_0', 'is_gambler_0')",1.190836013,0.098420413,is_gambler_0
36,"('is_gambler_0', 'atgs_cat_1')","('Q20_cat_4',)",1.184681822,0.093560146,is_gambler_0
37,"('is_gambler_0', 'Q20_cat_4')","('atgs_cat_1',)",1.184681822,0.093560146,is_gambler_0
38,"('atgs_cat_1',)","('is_gambler_0', 'Q20_cat_4')",1.184681822,0.093560146,is_gambler_0
39,"('Q20_cat_4',)","('is_gambler_0', 'atgs_cat_1')",1.184681822,0.093560146,is_gambler_0
40,"('Q18_cat_2', 'is_gambler_0')","('atgs_cat_2',)",1.111641708,0.154313487,is_gambler_0
41,"('is_gambler_0', 'atgs_cat_2')","('Q18_cat_2',)",1.111641708,0.154313487,is_gambler_0
42,"('Q18_cat_2',)","('is_gambler_0', 'atgs_cat_2')",1.111641708,0.154313487,is_gambler_0
43,"('atgs_cat_2',)","('Q18_cat_2', 'is_gambler_0')",1.111641708,0.154313487,is_gambler_0
44,"('is_gambler_0', 'Q20_cat_2')","('atgs_cat_2',)",1.134859349,0.139732685,is_gambler_0
45,"('is_gambler_0', 'atgs_cat_2')","('Q20_cat_2',)",1.134859349,0.139732685,is_gambler_0
46,"('Q20_cat_2',)","('is_gambler_0', 'atgs_cat_2')",1.134859349,0.139732685,is_gambler_0
47,"('atgs_cat_2',)","('is_gambler_0', 'Q20_cat_2')",1.134859349,0.139732685,is_gambler_0
48,"('lotto_count_0', 'is_gambler_0')","('Q18_cat_1',)",1.495181675,0.083839611,is_gambler_0
49,"('is_gambler_0', 'Q18_cat_1')","('lotto_count_0',)",1.495181675,0.083839611,is_gambler_0
50,"('lotto_count_0',)","('is_gambler_0', 'Q18_cat_1')",1.495181675,0.083839611,is_gambler_0
51,"('Q18_cat_1',)","('lotto_count_0', 'is_gambler_0')",1.495181675,0.083839611,is_gambler_0
52,"('is_gambler_0', 'Q20_cat_1')","('Q18_cat_1',)",1.372388977,0.092345079,is_gambler_0
53,"('is_gambler_0', 'Q18_cat_1')","('Q20_cat_1',)",1.372388977,0.092345079,is_gambler_0
54,"('Q20_cat_1',)","('is_gambler_0', 'Q18_cat_1')",1.372388977,0.092345079,is_gambler_0
55,"('Q18_cat_1',)","('is_gambler_0', 'Q20_cat_1')",1.372388977,0.092345079,is_gambler_0
56,"('Q18_cat_2', 'is_gambler_0')","('Q20_cat_1',)",1.200469305,0.111786148,is_gambler_0
57,"('is_gambler_0', 'Q20_cat_1')","('Q18_cat_2',)",1.200469305,0.111786148,is_gambler_0
