,antecedents,consequents,lift,support,type
14,"('pgsi_binary_0', 'atgs_cat_1')","('Q18_cat_1',)",1.120195431,0.080178174,pgsi_binary_0
15,"('pgsi_binary_0', 'Q18_cat_1')","('atgs_cat_1',)",1.120195431,0.080178174,pgsi_binary_0
16,"('atgs_cat_1',)","('pgsi_binary_0', 'Q18_cat_1')",1.120195431,0.080178174,pgsi_binary_0
17,"('Q18_cat_1',)","('pgsi_binary_0', 'atgs_cat_1')",1.120195431,0.080178174,pgsi_binary_0
18,"('gamble_freq_cat_1', 'pgsi_binary_0')","('Q18_cat_1',)",1.113280645,0.080178174,pgsi_binary_0
19,"('pgsi_binary_0', 'Q18_cat_1')","('gamble_freq_cat_1',)",1.113280645,0.080178174,pgsi_binary_0
20,"('gamble_freq_cat_1',)","('pgsi_binary_0', 'Q18_cat_1')",1.113280645,0.080178174,pgsi_binary_0
21,"('Q18_cat_1',)","('gamble_freq_cat_1', 'pgsi_binary_0')",1.113280645,0.080178174,pgsi_binary_0
22,"('pgsi_binary_0', 'Q20_cat_1')","('Q18_cat_1',)",1.375920797,0.101336303,pgsi_binary_0
23,"('pgsi_binary_0', 'Q18_cat_1')","('Q20_cat_1',)",1.375920797,0.101336303,pgsi_binary_0
24,"('Q20_cat_1',)","('pgsi_binary_0', 'Q18_cat_1')",1.375920797,0.101336303,pgsi_binary_0
25,"('Q18_cat_1',)","('pgsi_binary_0', 'Q20_cat_1')",1.375920797,0.101336303,pgsi_binary_0
26,"('pgsi_binary_0', 'Q18_cat_2')","('Q20_cat_1',)",1.159947338,0.115812918,pgsi_binary_0
27,"('pgsi_binary_0', 'Q20_cat_1')","('Q18_cat_2',)",1.159947338,0.115812918,pgsi_binary_0
28,"('Q18_cat_2',)","('pgsi_binary_0', 'Q20_cat_1')",1.159947338,0.115812918,pgsi_binary_0
29,"('Q20_cat_1',)","('pgsi_binary_0', 'Q18_cat_2')",1.159947338,0.115812918,pgsi_binary_0
30,"('pgsi_binary_0', 'Q18_cat_2')","('Q20_cat_2',)",1.103216321,0.135857461,pgsi_binary_0
31,"('pgsi_binary_0', 'Q20_cat_2')","('Q18_cat_2',)",1.103216321,0.135857461,pgsi_binary_0
32,"('Q18_cat_2',)","('pgsi_binary_0', 'Q20_cat_2')",1.103216321,0.135857461,pgsi_binary_0
33,"('Q20_cat_2',)","('pgsi_binary_0', 'Q18_cat_2')",1.103216321,0.135857461,pgsi_binary_0
34,"('pgsi_binary_0', 'Q20_cat_2')","('Q18_cat_3',)",1.26908079,0.090200445,pgsi_binary_0
35,"('pgsi_binary_0', 'Q18_cat_3')","('Q20_cat_2',)",1.26908079,0.090200445,pgsi_binary_0
36,"('Q20_cat_2',)","('pgsi_binary_0', 'Q18_cat_3')",1.26908079,0.090200445,pgsi_binary_0
37,"('Q18_cat_3',)","('pgsi_binary_0', 'Q20_cat_2')",1.26908079,0.090200445,pgsi_binary_0
38,"('lotto_count_2', 'pgsi_binary_0')","('delay_count_3',)",1.124215908,0.158685969,pgsi_binary_0
39,"('pgsi_binary_0', 'delay_count_3')","('lotto_count_2',)",1.124215908,0.158685969,pgsi_binary_0
40,"('lotto_count_2',)","('pgsi_binary_0', 'delay_count_3')",1.124215908,0.158685969,pgsi_binary_0
41,"('delay_count_3',)","('lotto_count_2', 'pgsi_binary_0')",1.124215908,0.158685969,pgsi_binary_0
